couple	bande	mod	date	session	ini	restant	predates	tx_pred	annee	code2	code3
2	BE	00m	13/7/17	1	10	0	10	1	2017	2BE00m	2BE
2	BE	00m	13/7/17	1	10	0	10	1	2017	2BE00m	2BE
2	BE	00m	13/7/17	1	10	0	10	1	2017	2BE00m	2BE
2	BE	00m	13/7/17	1	10	0	10	1	2017	2BE00m	2BE
2	BE	05m	13/7/17	1	10	0	10	1	2017	2BE05m	2BE
2	BE	05m	13/7/17	1	10	3	7	0.7	2017	2BE05m	2BE
2	BE	05m	13/7/17	1	10	0	10	1	2017	2BE05m	2BE
2	BE	05m	13/7/17	1	10	0	10	1	2017	2BE05m	2BE
2	BE	20m	13/7/17	1	10	8	2	0.2	2017	2BE20m	2BE
2	BE	20m	13/7/17	1	10	7	3	0.3	2017	2BE20m	2BE
2	BE	20m	13/7/17	1	10	2	8	0.8	2017	2BE20m	2BE
2	BE	20m	13/7/17	1	10	0	10	1	2017	2BE20m	2BE
2	BF	00m	13/7/17	1	10	9	1	0.1	2017	2BF00m	2BF
2	BF	00m	13/7/17	1	10	9	1	0.1	2017	2BF00m	2BF
2	BF	00m	13/7/17	1	10	0	10	1	2017	2BF00m	2BF
2	BF	00m	13/7/17	1	10	0	10	1	2017	2BF00m	2BF
2	BF	05m	13/7/17	1	10	8	2	0.2	2017	2BF05m	2BF
2	BF	05m	13/7/17	1	10	9	1	0.1	2017	2BF05m	2BF
2	BF	05m	13/7/17	1	10	0	10	1	2017	2BF05m	2BF
2	BF	05m	13/7/17	1	10	0	10	1	2017	2BF05m	2BF
2	BF	20m	13/7/17	1	10	7	3	0.3	2017	2BF20m	2BF
2	BF	20m	13/7/17	1	10	0	10	1	2017	2BF20m	2BF
2	BF	20m	13/7/17	1	10	7	3	0.3	2017	2BF20m	2BF
2	BF	20m	13/7/17	1	10	0	10	1	2017	2BF20m	2BF
3	BE	00m	13/7/17	1	10	0	10	1	2017	3BE00m	3BE
3	BE	00m	13/7/17	1	10	8	2	0.2	2017	3BE00m	3BE
3	BE	00m	13/7/17	1	10	0	10	1	2017	3BE00m	3BE
3	BE	00m	13/7/17	1	10	0	10	1	2017	3BE00m	3BE
3	BE	05m	13/7/17	1	10	0	10	1	2017	3BE05m	3BE
3	BE	05m	13/7/17	1	10	0	10	1	2017	3BE05m	3BE
3	BE	05m	13/7/17	1	10	0	10	1	2017	3BE05m	3BE
3	BE	05m	13/7/17	1	10	0	10	1	2017	3BE05m	3BE
3	BE	20m	13/7/17	1	10	0	10	1	2017	3BE20m	3BE
3	BE	20m	13/7/17	1	10	8	2	0.2	2017	3BE20m	3BE
3	BE	20m	13/7/17	1	10	10	0	0	2017	3BE20m	3BE
3	BE	20m	13/7/17	1	10	0	10	1	2017	3BE20m	3BE
3	BF	00m	13/7/17	1	10	7	3	0.3	2017	3BF00m	3BF
3	BF	00m	13/7/17	1	10	10	0	0	2017	3BF00m	3BF
3	BF	00m	13/7/17	1	10	2	8	0.8	2017	3BF00m	3BF
3	BF	00m	13/7/17	1	10	4	6	0.6	2017	3BF00m	3BF
3	BF	05m	13/7/17	1	10	8	2	0.2	2017	3BF05m	3BF
3	BF	05m	13/7/17	1	10	8	2	0.2	2017	3BF05m	3BF
3	BF	05m	13/7/17	1	10	8	2	0.2	2017	3BF05m	3BF
3	BF	05m	13/7/17	1	10	9	1	0.1	2017	3BF05m	3BF
3	BF	20m	13/7/17	1	10	4	6	0.6	2017	3BF20m	3BF
3	BF	20m	13/7/17	1	10	9	1	0.1	2017	3BF20m	3BF
3	BF	20m	13/7/17	1	10	9	1	0.1	2017	3BF20m	3BF
3	BF	20m	13/7/17	1	10	6	4	0.4	2017	3BF20m	3BF
4	BE	00m	11/7/17	1	10	0	10	1	2017	4BE00m	4BE
4	BE	00m	11/7/17	1	10	8	2	0.2	2017	4BE00m	4BE
4	BE	00m	11/7/17	1	10	8	2	0.2	2017	4BE00m	4BE
4	BE	00m	11/7/17	1	10	9	1	0.1	2017	4BE00m	4BE
4	BE	05m	11/7/17	1	10	0	10	1	2017	4BE05m	4BE
4	BE	05m	11/7/17	1	10	0	10	1	2017	4BE05m	4BE
4	BE	05m	11/7/17	1	10	5	5	0.5	2017	4BE05m	4BE
4	BE	05m	11/7/17	1	10	0	10	1	2017	4BE05m	4BE
4	BE	20m	11/7/17	1	10	8	2	0.2	2017	4BE20m	4BE
4	BE	20m	11/7/17	1	10	0	10	1	2017	4BE20m	4BE
4	BE	20m	11/7/17	1	10	0	10	1	2017	4BE20m	4BE
4	BE	20m	11/7/17	1	10	0	10	1	2017	4BE20m	4BE
4	BF	00m	11/7/17	1	10	7	3	0.3	2017	4BF00m	4BF
4	BF	00m	11/7/17	1	10	0	10	1	2017	4BF00m	4BF
4	BF	00m	11/7/17	1	10	4	6	0.6	2017	4BF00m	4BF
4	BF	00m	11/7/17	1	10	0	10	1	2017	4BF00m	4BF
4	BF	05m	11/7/17	1	10	0	10	1	2017	4BF05m	4BF
4	BF	05m	11/7/17	1	10	0	10	1	2017	4BF05m	4BF
4	BF	05m	11/7/17	1	10	6	4	0.4	2017	4BF05m	4BF
4	BF	05m	11/7/17	1	10	8	2	0.2	2017	4BF05m	4BF
4	BF	20m	11/7/17	1	10	4	6	0.6	2017	4BF20m	4BF
4	BF	20m	11/7/17	1	10	8	2	0.2	2017	4BF20m	4BF
4	BF	20m	11/7/17	1	10	0	10	1	2017	4BF20m	4BF
4	BF	20m	11/7/17	1	10	0	10	1	2017	4BF20m	4BF
5	BE	00m	11/7/17	1	10	7	3	0.3	2017	5BE00m	5BE
5	BE	00m	11/7/17	1	10	6	4	0.4	2017	5BE00m	5BE
5	BE	00m	11/7/17	1	10	5	5	0.5	2017	5BE00m	5BE
5	BE	00m	11/7/17	1	10	8	2	0.2	2017	5BE00m	5BE
5	BE	05m	11/7/17	1	10	9	1	0.1	2017	5BE05m	5BE
5	BE	05m	11/7/17	1	10	7	3	0.3	2017	5BE05m	5BE
