couple	bande	mod	date	annee	ini	restant	paras	pred	Tx_pred	Tx_para	session	code2	code3
2	BE	00m	21/7/17	2017	10	10	0	0	0	0	1	2BE00m	2BE
2	BE	00m	21/7/17	2017	10	8	0	2	0.2	0	1	2BE00m	2BE
2	BE	00m	21/7/17	2017	10	6	0	4	0.4	0	1	2BE00m	2BE
2	BE	00m	21/7/17	2017	10	10	0	0	0	0	1	2BE00m	2BE
2	BE	05m	21/7/17	2017	10	10	0	0	0	0	1	2BE05m	2BE
2	BE	05m	21/7/17	2017	10	5	0	5	0.5	0	1	2BE05m	2BE
2	BE	05m	21/7/17	2017	10	0	0	10	1	0	1	2BE05m	2BE
2	BE	05m	21/7/17	2017	10	0	0	10	1	0	1	2BE05m	2BE
2	BE	20m	21/7/17	2017	10	10	0	0	0	0	1	2BE20m	2BE
2	BE	20m	21/7/17	2017	10	7	0	3	0.3	0	1	2BE20m	2BE
2	BE	20m	21/7/17	2017	10	8	0	2	0.2	0	1	2BE20m	2BE
2	BE	20m	21/7/17	2017	10	8	0	2	0.2	0	1	2BE20m	2BE
2	BF	00m	21/7/17	2017	10	10	0	0	0	0	1	2BF00m	2BF
2	BF	00m	21/7/17	2017	10	8	0	2	0.2	0	1	2BF00m	2BF
2	BF	00m	21/7/17	2017	10	8	0	2	0.2	0	1	2BF00m	2BF
2	BF	00m	21/7/17	2017	10	8	0	2	0.2	0	1	2BF00m	2BF
2	BF	05m	21/7/17	2017	10	8	0	2	0.2	0	1	2BF05m	2BF
2	BF	05m	21/7/17	2017	10	10	0	0	0	0	1	2BF05m	2BF
2	BF	05m	21/7/17	2017	10	6	0	4	0.4	0	1	2BF05m	2BF
2	BF	05m	21/7/17	2017	10	10	0	0	0	0	1	2BF05m	2BF
2	BF	20m	21/7/17	2017	10	8	0	2	0.2	0	1	2BF20m	2BF
2	BF	20m	21/7/17	2017	10	10	0	0	0	0	1	2BF20m	2BF
2	BF	20m	21/7/17	2017	10	9	0	1	0.1	0	1	2BF20m	2BF
2	BF	20m	21/7/17	2017	10	10	0	0	0	0	1	2BF20m	2BF
3	BE	00m	21/7/17	2017	10	10	0	0	0	0	1	3BE00m	3BE
3	BE	00m	21/7/17	2017	10	9	0	1	0.1	0	1	3BE00m	3BE
3	BE	00m	21/7/17	2017	10	6	0	4	0.4	0	1	3BE00m	3BE
3	BE	00m	21/7/17	2017	10	10	0	0	0	0	1	3BE00m	3BE
3	BE	05m	21/7/17	2017	10	10	0	0	0	0	1	3BE05m	3BE
3	BE	05m	21/7/17	2017	10	7	0	3	0.3	0	1	3BE05m	3BE
