parcelle,x,y
EUCLID 1BE,45.024748,-0.350744
EUCLID 1BF,45.023751,-0.350360
EUCLID 2BE,45.000930,-0.317047
EUCLID 2BF,45.000107,-0.315131
EUCLID 3BE,45.040094,-0.331495
EUCLID 3BF,45.041596,-0.329429
EUCLID 4BE,44.999325,-0.316299
EUCLID 4BF,44.997528,-0.317139
EUCLID 5BE,44.989912,-0.328053
EUCLID 5BF,44.990694,-0.329288
EUCLID 6BE,45.047916,-0.386255
EUCLID 6BF,45.048297,-0.384159
EUCLID 7BE,45.040182,-0.381194
EUCLID 7BF,45.039135,-0.382700
EUCLID 8BE,44.994669,-0.312492
EUCLID 8BF,44.996025,-0.311194
EUCLID 9BE,45.035009,-0.348420
EUCLID 9BF,45.036447,-0.348562
EUCLID 10BE,45.034248,-0.354863
EUCLID 10BF,45.033162,-0.355898
EUCLID 11BE,45.032113,-0.366294
EUCLID 11BF,45.032113,-0.366294
EUCLID 12BE,45.031033,-0.368806
EUCLID 12BF,45.029443,-0.370970
