couple	bande	mod	piege	code	date	order	family	genus	species	eff	session	Rspec	Rgen	Rspec_taxon	Rgen_taxon	code2	code3	codex
1	BE	00m	B	1BE00mB	22/6	Araneae	Araneidae	Nuctenea	umbratica	1	1	x	x	Araneidae_Nuctenea_umbratica	Araneidae_Nuctenea	1BE00m	1BE	1BEB
1	BE	00m	B	1BE00mB	22/6	Araneae	Linyphiidae	Tenuiphantes	sp.	1	1		x	Linyphiidae_Tenuiphantes_sp.	Linyphiidae_Tenuiphantes	1BE00m	1BE	1BEB
1	BE	00m	B	1BE00mB	22/6	Araneae	Theridiidae			1	1			Theridiidae__	Theridiidae_	1BE00m	1BE	1BEB
1	BE	00m	B	1BE00mB	22/6	Araneae	Thomisidae	Xysticus	sp.	2	1		x	Thomisidae_Xysticus_sp.	Thomisidae_Xysticus	1BE00m	1BE	1BEB
1	BE	00m	B	1BE00mB	22/6	Dermaptera	Forficulidae			0	1			Forficulidae__	Forficulidae_	1BE00m	1BE	1BEB
1	BE	00m	B	1BE00mB	22/6	Neuroptera				0	1			__	_	1BE00m	1BE	1BEB
1	BE	00m	B	1BE00mB	22/6	Opiliones				0	1			__	_	1BE00m	1BE	1BEB
1	BE	05m	B	1BE05mB	22/6	Araneae	Linyphiidae			1	1			Linyphiidae__	Linyphiidae_	1BE05m	1BE	1BEB
1	BE	05m	B	1BE05mB	22/6	Dermaptera	Forficulidae			0	1			Forficulidae__	Forficulidae_	1BE05m	1BE	1BEB
1	BE	05m	B	1BE05mB	22/6	Neuroptera				0	1			__	_	1BE05m	1BE	1BEB
1	BE	05m	B	1BE05mB	22/6	Opiliones				0	1			__	_	1BE05m	1BE	1BEB
1	BE	20m	B	1BE20mB	22/6	Araneae	Linyphiidae	Tenuiphantes	sp.	2	1		x	Linyphiidae_Tenuiphantes_sp.	Linyphiidae_Tenuiphantes	1BE20m	1BE	1BEB
1	BE	20m	B	1BE20mB	22/6	Araneae	Salticidae	Salticus	sp.	2	1		x	Salticidae_Salticus_sp.	Salticidae_Salticus	1BE20m	1BE	1BEB
1	BE	20m	B	1BE20mB	22/6	Araneae	Thomisidae	Xysticus	sp.	2	1		x	Thomisidae_Xysticus_sp.	Thomisidae_Xysticus	1BE20m	1BE	1BEB
1	BE	20m	B	1BE20mB	22/6	Dermaptera	Forficulidae			0	1			Forficulidae__	Forficulidae_	1BE20m	1BE	1BEB
1	BE	20m	B	1BE20mB	22/6	Neuroptera				0	1			__	_	1BE20m	1BE	1BEB
1	BE	20m	B	1BE20mB	22/6	Opiliones				0	1			__	_	1BE20m	1BE	1BEB
1	BE	00m	F	1BE00mF	22/6	Araneae				0	1			__	_	1BE00m	1BE	1BEF
1	BE	00m	F	1BE00mF	22/6	Dermaptera	Forficulidae			0	1			Forficulidae__	Forficulidae_	1BE00m	1BE	1BEF
1	BE	00m	F	1BE00mF	22/6	Neuroptera				0	1			__	_	1BE00m	1BE	1BEF
1	BE	00m	F	1BE00mF	22/6	Opiliones				0	1			__	_	1BE00m	1BE	1BEF
1	BE	00m	P	1BE00mP	20/6	Araneae	Linyphiidae	Agyneta	rurestris	1	1	x	x	Linyphiidae_Agyneta_rurestris	Linyphiidae_Agyneta	1BE00m	1BE	1BEP
1	BE	00m	P	1BE00mP	20/6	Araneae	Linyphiidae	Mermessus	trilobatus	1	1	x	x	Linyphiidae_Mermessus_trilobatus	Linyphiidae_Mermessus	1BE00m	1BE	1BEP
1	BE	00m	P	1BE00mP	20/6	Araneae	Linyphiidae	Pelecopsis	parallela	1	1	x	x	Linyphiidae_Pelecopsis_parallela	Linyphiidae_Pelecopsis	1BE00m	1BE	1BEP
1	BE	00m	P	1BE00mP	20/6	Araneae	Linyphiidae	Tenuiphantes	tenuis	1	1	x	x	Linyphiidae_Tenuiphantes_tenuis	Linyphiidae_Tenuiphantes	1BE00m	1BE	1BEP
1	BE	00m	P	1BE00mP	20/6	Araneae	Lycosidae	Pardosa	proxima	2	1	x	x	Lycosidae_Pardosa_proxima	Lycosidae_Pardosa	1BE00m	1BE	1BEP
1	BE	00m	P	1BE00mP	20/6	Araneae	Lycosidae	Pardosa	sp.	3	1		x	Lycosidae_Pardosa_sp.	Lycosidae_Pardosa	1BE00m	1BE	1BEP
1	BE	00m	P	1BE00mP	20/6	Araneae	Lycosidae	Trochosa	robusta	1	1	x	x	Lycosidae_Trochosa_robusta	Lycosidae_Trochosa	1BE00m	1BE	1BEP
1	BE	00m	P	1BE00mP	20/6	Araneae	Lycosidae	Xerolycosa	miniata	7	1	x	x	Lycosidae_Xerolycosa_miniata	Lycosidae_Xerolycosa	1BE00m	1BE	1BEP
