"","Site","Treatment","Guild","Distance","session","Total"
"1","1","High Div","Soil",0,1,24
"2","1","High Div","Soil",0,2,18
"3","1","High Div","Soil",0,3,17
"4","1","High Div","Soil",15,1,28
"5","1","High Div","Soil",15,2,52
"6","1","High Div","Soil",15,3,16
"7","1","High Div","Soil",30,1,32
"8","1","High Div","Soil",30,2,36
"9","1","High Div","Soil",30,3,32
"10","1","High Div","Vegetation",0,1,1
"11","1","High Div","Vegetation",0,2,18
"12","1","High Div","Vegetation",0,3,6
"13","1","High Div","Vine",0,1,8
"14","1","High Div","Vine",0,2,26
"15","1","High Div","Vine",0,3,4
"16","1","High Div","Vine",15,1,10
"17","1","High Div","Vine",15,2,19
"18","1","High Div","Vine",15,3,12
"19","1","High Div","Vine",30,1,5
"20","1","High Div","Vine",30,2,2
"21","1","High Div","Vine",30,3,4
"22","1","Low Div","Soil",0,1,66
"23","1","Low Div","Soil",0,2,29
"24","1","Low Div","Soil",0,3,29
"25","1","Low Div","Soil",15,1,46
"26","1","Low Div","Soil",15,2,39
"27","1","Low Div","Soil",15,3,29
"28","1","Low Div","Soil",30,1,40
"29","1","Low Div","Soil",30,2,28
"30","1","Low Div","Soil",30,3,19
"31","1","Low Div","Vegetation",0,1,0
"32","1","Low Div","Vegetation",0,2,12
"33","1","Low Div","Vegetation",0,3,5
"34","1","Low Div","Vine",0,1,5
"35","1","Low Div","Vine",0,2,20
"36","1","Low Div","Vine",0,3,6
"37","1","Low Div","Vine",15,1,1
"38","1","Low Div","Vine",15,2,3
"39","1","Low Div","Vine",15,3,10
"40","1","Low Div","Vine",30,1,6
"41","1","Low Div","Vine",30,2,9
"42","1","Low Div","Vine",30,3,2
"43","2","High Div","Soil",0,1,19
"44","2","High Div","Soil",0,2,28
"45","2","High Div","Soil",0,3,20
"46","2","High Div","Soil",15,1,110
"47","2","High Div","Soil",15,2,26
"48","2","High Div","Soil",15,3,34
"49","2","High Div","Soil",30,1,23
"50","2","High Div","Soil",30,2,30
"51","2","High Div","Soil",30,3,20
"52","2","High Div","Vegetation",0,1,5
