"","Site","Treatment","Guild","Distance","session","TaxaR","GenusR"
"1","1","High Div","Soil",0,"1",9,6
"2","1","High Div","Soil",0,"2",12,8
"3","1","High Div","Soil",0,"3",8,7
"4","1","High Div","Soil",15,"1",8,5
"5","1","High Div","Soil",15,"2",15,8
"6","1","High Div","Soil",15,"3",11,10
"7","1","High Div","Soil",30,"1",13,9
"8","1","High Div","Soil",30,"2",13,8
"9","1","High Div","Soil",30,"3",13,10
"10","1","High Div","Vegetation",0,"1",1,1
"11","1","High Div","Vegetation",0,"2",8,6
"12","1","High Div","Vegetation",0,"3",4,2
"13","1","High Div","Vine",0,"1",6,4
"14","1","High Div","Vine",0,"2",13,7
"15","1","High Div","Vine",0,"3",4,2
"16","1","High Div","Vine",15,"1",6,4
"17","1","High Div","Vine",15,"2",11,9
"18","1","High Div","Vine",15,"3",7,2
"19","1","High Div","Vine",30,"1",5,2
"20","1","High Div","Vine",30,"2",1,1
"21","1","High Div","Vine",30,"3",4,3
"22","1","Low Div","Soil",0,"1",17,13
"23","1","Low Div","Soil",0,"2",13,10
"24","1","Low Div","Soil",0,"3",13,10
"25","1","Low Div","Soil",15,"1",19,12
"26","1","Low Div","Soil",15,"2",16,10
"27","1","Low Div","Soil",15,"3",11,9
"28","1","Low Div","Soil",30,"1",13,9
"29","1","Low Div","Soil",30,"2",14,8
"30","1","Low Div","Soil",30,"3",13,8
"31","1","Low Div","Vegetation",0,"1",0,0
"32","1","Low Div","Vegetation",0,"2",6,4
"33","1","Low Div","Vegetation",0,"3",3,2
"34","1","Low Div","Vine",0,"1",4,3
"35","1","Low Div","Vine",0,"2",11,7
"36","1","Low Div","Vine",0,"3",3,1
"37","1","Low Div","Vine",15,"1",1,1
"38","1","Low Div","Vine",15,"2",3,3
"39","1","Low Div","Vine",15,"3",6,4
"40","1","Low Div","Vine",30,"1",3,3
"41","1","Low Div","Vine",30,"2",7,5
"42","1","Low Div","Vine",30,"3",2,2
"43","2","High Div","Soil",0,"1",9,6
"44","2","High Div","Soil",0,"2",13,9
"45","2","High Div","Soil",0,"3",15,10
"46","2","High Div","Soil",15,"1",15,10
"47","2","High Div","Soil",15,"2",15,8
"48","2","High Div","Soil",15,"3",14,11
"49","2","High Div","Soil",30,"1",10,7
"50","2","High Div","Soil",30,"2",13,10
"51","2","High Div","Soil",30,"3",12,9
"52","2","High Div","Vegetation",0,"1",3,1
"53","2","High Div","Vegetation",0,"2",6,4
"54","2","High Div","Vegetation",0,"3",3,2
"55","2","High Div","Vine",0,"1",5,4
"56","2","High Div","Vine",0,"2",13,9
"57","2","High Div","Vine",0,"3",3,3
"58","2","High Div","Vine",15,"1",7,7
"59","2","High Div","Vine",15,"2",10,8
"60","2","High Div","Vine",15,"3",3,2
"61","2","High Div","Vine",30,"1",6,5
"62","2","High Div","Vine",30,"2",11,7
