"","Site","Treatment","Guild","Distance","session","Anyphaenidae_Anyphaena","Araneidae_Agalenatea","Araneidae_Araneus","Araneidae_Araniella","Araneidae_Argiope","Araneidae_Cyclosa","Araneidae_Hypsosinga","Araneidae_Mangora","Araneidae_Nuctenea","Araneidae_Singa","Carabidae_Acupalpus","Carabidae_Agonum","Carabidae_Amara","Carabidae_Anchomenus","Carabidae_Bradycellus","Carabidae_Calathus","Carabidae_Callistus","Carabidae_Carabus","Carabidae_Chlaeniellus","Carabidae_Cicindella","Carabidae_Clivina","Carabidae_Harpalus","Carabidae_Metallina","Carabidae_Microlestes","Carabidae_Nebria","Carabidae_Notiophilus","Carabidae_Olisthopus","Carabidae_Ophonus","Carabidae_Paratachys","Carabidae_Parophonus","Carabidae_Phyla","Carabidae_Poecilus","Carabidae_Pseudoophonus","Carabidae_Pterostichus","Carabidae_Stenolophus","Carabidae_Trepanes","Chrysopidae_Chrysoperla","Clubionidae_Clubiona","Dysderidae_Dysdera","Forficulidae_Forficula","Gnaphosidae_Callilepis","Gnaphosidae_Civizelotes","Gnaphosidae_Drassodes","Gnaphosidae_Drassylus","Gnaphosidae_Gnaphosa","Gnaphosidae_Haplodrassus","Gnaphosidae_Micaria","Gnaphosidae_Trachyzelotes","Gnaphosidae_Zelotes","Hemerobiidae_Hemerobius","Linyphiidae_Agyneta","Linyphiidae_Araeoncus","Linyphiidae_Bathyphantes","Linyphiidae_Dicymbium","Linyphiidae_Diplostyla","Linyphiidae_Entelecara","Linyphiidae_Erigone","Linyphiidae_Mermessus","Linyphiidae_Microlinyphia","Linyphiidae_Oedothorax","Linyphiidae_Palliduphantes","Linyphiidae_Pelecopsis","Linyphiidae_Tenuiphantes","Linyphiidae_tiso","Linyphiidae_Tiso","Linyphiidae_Trichonchus","Liocranidae_Agraecina","Lycosidae_Alopecosa","Lycosidae_Arctosa","Lycosidae_Aulonia","Lycosidae_Hogna","Lycosidae_Pardosa","Lycosidae_Trochosa","Lycosidae_Xerolycosa","Mimetidae_Ero","Oxyopidae_Oxyopes","Phalangiidae_Homalenotus","Phalangiidae_Odiellus","Phalangiidae_Phalangium","Philodromidae_Philodromus","Pisauridae_Pisaura","Salticidae_Ballus","Salticidae_Chalcoscirtus","Salticidae_Euophrys","Salticidae_Evarcha","Salticidae_Heliophanus","Salticidae_Leptorchestes","Salticidae_Pellenes","Salticidae_Pseudeuophrys","Salticidae_Pseudicius","Salticidae_Saitis","Salticidae_Salticus","Salticidae_Talavera","Sclerosomatidae_Leiobonum","Segestriidae_Segestria","Sparassidae_Micrommata","Tetragnathidae_Pachygnatha","Tetragnathidae_Tetragnatha","Theridiidae_Cryptachaea","Theridiidae_Enoplognatha","Theridiidae_Phylloneta","Theridiidae_Theridion","Thomisidae_Misumena","Thomisidae_Ozyptila","Thomisidae_Pistius","Thomisidae_Runcinia","Thomisidae_Synema","Thomisidae_Thomisus","Thomisidae_Tmarus","Thomisidae_Xysticus","Zodariidae_Zodarion","Zoropsidae_Zoropsis","GR","X","couple","HSN1000","HSN500","garde","Ldscp"
"1","1","High Div","Soil",0,"1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,27.01778392,12.16670535,"non",27.01778392
"2","1","High Div","Soil",0,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,27.01778392,12.16670535,"non",27.01778392
"3","1","High Div","Soil",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,1,27.01778392,12.16670535,"non",27.01778392
"4","1","High Div","Soil",15,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,27.01778392,12.16670535,"non",27.01778392
"5","1","High Div","Soil",15,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,1,27.01778392,12.16670535,"non",27.01778392
"6","1","High Div","Soil",15,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,27.01778392,12.16670535,"non",27.01778392
"7","1","High Div","Soil",30,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1,1,27.01778392,12.16670535,"non",27.01778392
"8","1","High Div","Soil",30,"2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,1,27.01778392,12.16670535,"non",27.01778392
"9","1","High Div","Soil",30,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,1,27.01778392,12.16670535,"non",27.01778392
"10","1","High Div","Vegetation",0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,27.01778392,12.16670535,"non",27.01778392
