"","couple","bande","mod","piege","code","date","order","family","genus","species","eff","session","Rspec","Rgen","Rspec_taxon","Rgen_taxon","code2","code3","codex","genus_sp","code2_session","taxon","codeRs","year","subfamily"
"141","2","BE","00m","B","2BE00mB","19/6","Araneae","Linyphiidae","Mermessus","trilobatus",1,"1","x","x","Linyphiidae_Mermessus_trilobatus","Linyphiidae_Mermessus","2BE00m","2BE","2BEB","Mermessus trilobatus","2BE00m 1","Araneae_Linyphiidae_Mermessus_trilobatus","S_Araneae_Linyphiidae_Mermessus_trilobatus","2018",NA
"142","2","BE","00m","B","2BE00mB","19/6","Araneae","Linyphiidae","","",1,"1","","","Linyphiidae__","Linyphiidae_","2BE00m","2BE","2BEB"," ","2BE00m 1","Araneae_Linyphiidae__","F_Araneae_Linyphiidae__","2018",NA
"143","2","BE","00m","B","2BE00mB","19/6","Araneae","Salticidae","Leptorchestes","sp.",2,"1","","x","Salticidae_Leptorchestes_sp.","Salticidae_Leptorchestes","2BE00m","2BE","2BEB","Leptorchestes sp.","2BE00m 1","Araneae_Salticidae_Leptorchestes_sp.","G_Araneae_Salticidae_Leptorchestes_sp.","2018",NA
"144","2","BE","00m","B","2BE00mB","19/6","Araneae","Salticidae","Pseudicius","encarpatus",1,"1","x","x","Salticidae_Pseudicius_encarpatus","Salticidae_Pseudicius","2BE00m","2BE","2BEB","Pseudicius encarpatus","2BE00m 1","Araneae_Salticidae_Pseudicius_encarpatus","S_Araneae_Salticidae_Pseudicius_encarpatus","2018",NA
"145","2","BE","00m","B","2BE00mB","19/6","Araneae","Thomisidae","Xysticus","sp.",2,"1","","x","Thomisidae_Xysticus_sp.","Thomisidae_Xysticus","2BE00m","2BE","2BEB","Xysticus sp.","2BE00m 1","Araneae_Thomisidae_Xysticus_sp.","G_Araneae_Thomisidae_Xysticus_sp.","2018",NA
"146","2","BE","00m","B","2BE00mB","19/6","Dermaptera","Forficulidae","","",0,"1","","","Forficulidae__","Forficulidae_","2BE00m","2BE","2BEB"," ","2BE00m 1","Dermaptera_Forficulidae__","F_Dermaptera_Forficulidae__","2018",NA
"147","2","BE","00m","B","2BE00mB","19/6","Neuroptera","","","",0,"1","","","__","_","2BE00m","2BE","2BEB"," ","2BE00m 1","Neuroptera___","O_Neuroptera___","2018",NA
"148","2","BE","00m","B","2BE00mB","19/6","Opiliones","","","",0,"1","","","__","_","2BE00m","2BE","2BEB"," ","2BE00m 1","Opiliones___","O_Opiliones___","2018",NA
"149","2","BE","05m","B","2BE05mB","19/6","Araneae","Linyphiidae","Bathyphantes","gracilis",1,"1","x","x","Linyphiidae_Bathyphantes_gracilis","Linyphiidae_Bathyphantes","2BE05m","2BE","2BEB","Bathyphantes gracilis","2BE05m 1","Araneae_Linyphiidae_Bathyphantes_gracilis","S_Araneae_Linyphiidae_Bathyphantes_gracilis","2018",NA
"150","2","BE","05m","B","2BE05mB","19/6","Araneae","Salticidae","Leptorchestes","sp.",1,"1","","x","Salticidae_Leptorchestes_sp.","Salticidae_Leptorchestes","2BE05m","2BE","2BEB","Leptorchestes sp.","2BE05m 1","Araneae_Salticidae_Leptorchestes_sp.","G_Araneae_Salticidae_Leptorchestes_sp.","2018",NA
"151","2","BE","05m","B","2BE05mB","19/6","Araneae","Salticidae","Pseudeuophrys","erratica",1,"1","x","x","Salticidae_Pseudeuophrys_erratica","Salticidae_Pseudeuophrys","2BE05m","2BE","2BEB","Pseudeuophrys erratica","2BE05m 1","Araneae_Salticidae_Pseudeuophrys_erratica","S_Araneae_Salticidae_Pseudeuophrys_erratica","2018",NA
"152","2","BE","05m","B","2BE05mB","19/6","Dermaptera","Forficulidae","","",0,"1","","","Forficulidae__","Forficulidae_","2BE05m","2BE","2BEB"," ","2BE05m 1","Dermaptera_Forficulidae__","F_Dermaptera_Forficulidae__","2018",NA
"153","2","BE","05m","B","2BE05mB","19/6","Neuroptera","","","",0,"1","","","__","_","2BE05m","2BE","2BEB"," ","2BE05m 1","Neuroptera___","O_Neuroptera___","2018",NA
"154","2","BE","05m","B","2BE05mB","19/6","Opiliones","","","",0,"1","","","__","_","2BE05m","2BE","2BEB"," ","2BE05m 1","Opiliones___","O_Opiliones___","2018",NA
