"","couple","bande","mod","piege","code","date","order","family","genus","species","eff","session","Rspec","Rgen","Rspec_taxon","Rgen_taxon","code2","code3","codex","genus_sp","code2_session","taxon","codeRs"
"1","1","BE","00m","B","1BE00mB","22/6","Araneae","Araneidae","Nuctenea","umbratica",1,"1","x","x","Araneidae_Nuctenea_umbratica","Araneidae_Nuctenea","1BE00m","1BE","1BEB","Nuctenea umbratica","1BE00m 1","Araneae_Araneidae_Nuctenea_umbratica","S_Araneae_Araneidae_Nuctenea_umbratica"
"2","1","BE","00m","B","1BE00mB","22/6","Araneae","Linyphiidae","Tenuiphantes","sp.",1,"1","","x","Linyphiidae_Tenuiphantes_sp.","Linyphiidae_Tenuiphantes","1BE00m","1BE","1BEB","Tenuiphantes sp.","1BE00m 1","Araneae_Linyphiidae_Tenuiphantes_sp.","G_Araneae_Linyphiidae_Tenuiphantes_sp."
"3","1","BE","00m","B","1BE00mB","22/6","Araneae","Theridiidae","","",1,"1","","","Theridiidae__","Theridiidae_","1BE00m","1BE","1BEB"," ","1BE00m 1","Araneae_Theridiidae__","F_Araneae_Theridiidae__"
"4","1","BE","00m","B","1BE00mB","22/6","Araneae","Thomisidae","Xysticus","sp.",2,"1","","x","Thomisidae_Xysticus_sp.","Thomisidae_Xysticus","1BE00m","1BE","1BEB","Xysticus sp.","1BE00m 1","Araneae_Thomisidae_Xysticus_sp.","G_Araneae_Thomisidae_Xysticus_sp."
"5","1","BE","00m","B","1BE00mB","22/6","Dermaptera","Forficulidae","","",0,"1","","","Forficulidae__","Forficulidae_","1BE00m","1BE","1BEB"," ","1BE00m 1","Dermaptera_Forficulidae__","F_Dermaptera_Forficulidae__"
"6","1","BE","00m","B","1BE00mB","22/6","Neuroptera","","","",0,"1","","","__","_","1BE00m","1BE","1BEB"," ","1BE00m 1","Neuroptera___","O_Neuroptera___"
"7","1","BE","00m","B","1BE00mB","22/6","Opiliones","","","",0,"1","","","__","_","1BE00m","1BE","1BEB"," ","1BE00m 1","Opiliones___","O_Opiliones___"
"8","1","BE","05m","B","1BE05mB","22/6","Araneae","Linyphiidae","","",1,"1","","","Linyphiidae__","Linyphiidae_","1BE05m","1BE","1BEB"," ","1BE05m 1","Araneae_Linyphiidae__","F_Araneae_Linyphiidae__"
"9","1","BE","05m","B","1BE05mB","22/6","Dermaptera","Forficulidae","","",0,"1","","","Forficulidae__","Forficulidae_","1BE05m","1BE","1BEB"," ","1BE05m 1","Dermaptera_Forficulidae__","F_Dermaptera_Forficulidae__"
"10","1","BE","05m","B","1BE05mB","22/6","Neuroptera","","","",0,"1","","","__","_","1BE05m","1BE","1BEB"," ","1BE05m 1","Neuroptera___","O_Neuroptera___"
"11","1","BE","05m","B","1BE05mB","22/6","Opiliones","","","",0,"1","","","__","_","1BE05m","1BE","1BEB"," ","1BE05m 1","Opiliones___","O_Opiliones___"
"12","1","BE","20m","B","1BE20mB","22/6","Araneae","Linyphiidae","Tenuiphantes","sp.",2,"1","","x","Linyphiidae_Tenuiphantes_sp.","Linyphiidae_Tenuiphantes","1BE20m","1BE","1BEB","Tenuiphantes sp.","1BE20m 1","Araneae_Linyphiidae_Tenuiphantes_sp.","G_Araneae_Linyphiidae_Tenuiphantes_sp."
"13","1","BE","20m","B","1BE20mB","22/6","Araneae","Salticidae","Salticus","sp.",2,"1","","x","Salticidae_Salticus_sp.","Salticidae_Salticus","1BE20m","1BE","1BEB","Salticus sp.","1BE20m 1","Araneae_Salticidae_Salticus_sp.","G_Araneae_Salticidae_Salticus_sp."
"14","1","BE","20m","B","1BE20mB","22/6","Araneae","Thomisidae","Xysticus","sp.",2,"1","","x","Thomisidae_Xysticus_sp.","Thomisidae_Xysticus","1BE20m","1BE","1BEB","Xysticus sp.","1BE20m 1","Araneae_Thomisidae_Xysticus_sp.","G_Araneae_Thomisidae_Xysticus_sp."
"15","1","BE","20m","B","1BE20mB","22/6","Dermaptera","Forficulidae","","",0,"1","","","Forficulidae__","Forficulidae_","1BE20m","1BE","1BEB"," ","1BE20m 1","Dermaptera_Forficulidae__","F_Dermaptera_Forficulidae__"
