"","couple","bande","mod","date","annee","ini","restant","paras","pred","Tx_pred","Tx_para","session","code2","code3","code2_session"
"1","2","BE","00m","21/7/17","2017",10,10,0,0,0,0,"1","2BE00m","2BE","2BE00m 1"
"2","2","BE","00m","21/7/17","2017",10,8,0,2,0.2,0,"1","2BE00m","2BE","2BE00m 1"
"3","2","BE","00m","21/7/17","2017",10,6,0,4,0.4,0,"1","2BE00m","2BE","2BE00m 1"
"4","2","BE","00m","21/7/17","2017",10,10,0,0,0,0,"1","2BE00m","2BE","2BE00m 1"
"5","2","BE","05m","21/7/17","2017",10,10,0,0,0,0,"1","2BE05m","2BE","2BE05m 1"
"6","2","BE","05m","21/7/17","2017",10,5,0,5,0.5,0,"1","2BE05m","2BE","2BE05m 1"
"7","2","BE","05m","21/7/17","2017",10,0,0,10,1,0,"1","2BE05m","2BE","2BE05m 1"
"8","2","BE","05m","21/7/17","2017",10,0,0,10,1,0,"1","2BE05m","2BE","2BE05m 1"
"9","2","BE","20m","21/7/17","2017",10,10,0,0,0,0,"1","2BE20m","2BE","2BE20m 1"
"10","2","BE","20m","21/7/17","2017",10,7,0,3,0.3,0,"1","2BE20m","2BE","2BE20m 1"
"11","2","BE","20m","21/7/17","2017",10,8,0,2,0.2,0,"1","2BE20m","2BE","2BE20m 1"
"12","2","BE","20m","21/7/17","2017",10,8,0,2,0.2,0,"1","2BE20m","2BE","2BE20m 1"
"13","2","BF","00m","21/7/17","2017",10,10,0,0,0,0,"1","2BF00m","2BF","2BF00m 1"
"14","2","BF","00m","21/7/17","2017",10,8,0,2,0.2,0,"1","2BF00m","2BF","2BF00m 1"
"15","2","BF","00m","21/7/17","2017",10,8,0,2,0.2,0,"1","2BF00m","2BF","2BF00m 1"
"16","2","BF","00m","21/7/17","2017",10,8,0,2,0.2,0,"1","2BF00m","2BF","2BF00m 1"
"17","2","BF","05m","21/7/17","2017",10,8,0,2,0.2,0,"1","2BF05m","2BF","2BF05m 1"
"18","2","BF","05m","21/7/17","2017",10,10,0,0,0,0,"1","2BF05m","2BF","2BF05m 1"
"19","2","BF","05m","21/7/17","2017",10,6,0,4,0.4,0,"1","2BF05m","2BF","2BF05m 1"
"20","2","BF","05m","21/7/17","2017",10,10,0,0,0,0,"1","2BF05m","2BF","2BF05m 1"
"21","2","BF","20m","21/7/17","2017",10,8,0,2,0.2,0,"1","2BF20m","2BF","2BF20m 1"
"22","2","BF","20m","21/7/17","2017",10,10,0,0,0,0,"1","2BF20m","2BF","2BF20m 1"
"23","2","BF","20m","21/7/17","2017",10,9,0,1,0.1,0,"1","2BF20m","2BF","2BF20m 1"
"24","2","BF","20m","21/7/17","2017",10,10,0,0,0,0,"1","2BF20m","2BF","2BF20m 1"
"85","6","BE","00m","21/7/17","2017",10,9,0,1,0.1,0,"1","6BE00m","6BE","6BE00m 1"
"86","6","BE","00m","21/7/17","2017",10,9,0,1,0.1,0,"1","6BE00m","6BE","6BE00m 1"
"87","6","BE","00m","21/7/17","2017",10,7,0,3,0.3,0,"1","6BE00m","6BE","6BE00m 1"
"88","6","BE","00m","21/7/17","2017",10,10,0,0,0,0,"1","6BE00m","6BE","6BE00m 1"
"89","6","BE","05m","21/7/17","2017",10,10,0,0,0,0,"1","6BE05m","6BE","6BE05m 1"
"90","6","BE","05m","21/7/17","2017",10,10,0,0,0,0,"1","6BE05m","6BE","6BE05m 1"
"91","6","BE","05m","21/7/17","2017",10,6,0,4,0.4,0,"1","6BE05m","6BE","6BE05m 1"
"92","6","BE","05m","21/7/17","2017",10,7,0,3,0.3,0,"1","6BE05m","6BE","6BE05m 1"
"93","6","BE","20m","21/7/17","2017",10,6,0,4,0.4,0,"1","6BE20m","6BE","6BE20m 1"
"94","6","BE","20m","21/7/17","2017",10,9,0,1,0.1,0,"1","6BE20m","6BE","6BE20m 1"
"95","6","BE","20m","21/7/17","2017",10,8,0,2,0.2,0,"1","6BE20m","6BE","6BE20m 1"
"96","6","BE","20m","21/7/17","2017",10,9,0,1,0.1,0,"1","6BE20m","6BE","6BE20m 1"
"97","6","BF","00m","21/7/17","2017",10,5,0,5,0.5,0,"1","6BF00m","6BF","6BF00m 1"
"98","6","BF","00m","21/7/17","2017",10,2,8,0,0,0.8,"1","6BF00m","6BF","6BF00m 1"
"99","6","BF","00m","21/7/17","2017",10,10,0,0,0,0,"1","6BF00m","6BF","6BF00m 1"
"100","6","BF","00m","21/7/17","2017",10,10,0,0,0,0,"1","6BF00m","6BF","6BF00m 1"
"101","6","BF","05m","21/7/17","2017",10,9,0,1,0.1,0,"1","6BF05m","6BF","6BF05m 1"
"102","6","BF","05m","21/7/17","2017",10,0,8,2,0.2,0.8,"1","6BF05m","6BF","6BF05m 1"
"103","6","BF","05m","21/7/17","2017",10,9,0,1,0.1,0,"1","6BF05m","6BF","6BF05m 1"
"104","6","BF","05m","21/7/17","2017",10,10,0,0,0,0,"1","6BF05m","6BF","6BF05m 1"
"105","6","BF","20m","21/7/17","2017",10,10,0,0,0,0,"1","6BF20m","6BF","6BF20m 1"
"106","6","BF","20m","21/7/17","2017",10,7,0,3,0.3,0,"1","6BF20m","6BF","6BF20m 1"
"107","6","BF","20m","21/7/17","2017",10,10,0,0,0,0,"1","6BF20m","6BF","6BF20m 1"
"108","6","BF","20m","21/7/17","2017",10,9,0,1,0.1,0,"1","6BF20m","6BF","6BF20m 1"
"109","7","BE","00m","21/7/17","2017",10,8,0,2,0.2,0,"1","7BE00m","7BE","7BE00m 1"
"110","7","BE","00m","21/7/17","2017",10,9,0,1,0.1,0,"1","7BE00m","7BE","7BE00m 1"
"111","7","BE","00m","21/7/17","2017",10,8,0,2,0.2,0,"1","7BE00m","7BE","7BE00m 1"
"112","7","BE","00m","21/7/17","2017",10,10,0,0,0,0,"1","7BE00m","7BE","7BE00m 1"
"113","7","BE","05m","21/7/17","2017",10,7,0,3,0.3,0,"1","7BE05m","7BE","7BE05m 1"
"114","7","BE","05m","21/7/17","2017",10,10,0,0,0,0,"1","7BE05m","7BE","7BE05m 1"
"115","7","BE","05m","21/7/17","2017",10,1,0,9,0.9,0,"1","7BE05m","7BE","7BE05m 1"
"116","7","BE","05m","21/7/17","2017",10,5,0,5,0.5,0,"1","7BE05m","7BE","7BE05m 1"
"117","7","BE","20m","21/7/17","2017",10,0,0,10,1,0,"1","7BE20m","7BE","7BE20m 1"
