"","Site","Treatment","Distance","Session","PredRate"
"1","1","Low Div",0,"1",0.2
"2","1","Low Div",0,"1",0
"3","1","Low Div",0,"1",0
"4","1","Low Div",0,"1",0.2
"5","1","Low Div",15,"1",0.1
"6","1","Low Div",15,"1",0
"7","1","Low Div",15,"1",0.2
"8","1","Low Div",15,"1",0.2
"9","1","Low Div",30,"1",0.2
"10","1","Low Div",30,"1",0
"11","1","Low Div",30,"1",0.3
"12","1","Low Div",30,"1",0.1
"13","1","High Div",0,"1",0.1
"14","1","High Div",0,"1",0.1
"15","1","High Div",0,"1",0.4
"16","1","High Div",0,"1",0.2
"17","1","High Div",15,"1",1
"18","1","High Div",15,"1",0.3
"19","1","High Div",15,"1",0.4
"20","1","High Div",15,"1",0.3
"21","1","High Div",30,"1",0.5
"22","1","High Div",30,"1",0.9
"23","1","High Div",30,"1",0.2
"24","1","High Div",30,"1",0
"25","2","Low Div",0,"1",0.2
"26","2","Low Div",0,"1",0.2
"27","2","Low Div",0,"1",0.5
"28","2","Low Div",0,"1",0.3
"29","2","Low Div",15,"1",0.3
"30","2","Low Div",15,"1",0.2
"31","2","Low Div",15,"1",0.3
"32","2","Low Div",15,"1",0.1
"33","2","Low Div",30,"1",0.1
"34","2","Low Div",30,"1",0
"35","2","Low Div",30,"1",0.1
"36","2","Low Div",30,"1",0.3
"37","2","High Div",0,"1",0.5
"38","2","High Div",0,"1",0.1
"39","2","High Div",0,"1",0.9
"40","2","High Div",0,"1",0.1
"41","2","High Div",15,"1",0.2
"42","2","High Div",15,"1",0.1
"43","2","High Div",15,"1",0.4
"44","2","High Div",15,"1",0.4
"45","2","High Div",30,"1",0.2
"46","2","High Div",30,"1",0.2
"47","2","High Div",30,"1",0.4
"48","2","High Div",30,"1",0.7
"49","6","Low Div",0,"1",0.3
"50","6","Low Div",0,"1",0.9
"51","6","Low Div",0,"1",0.4
"52","6","Low Div",0,"1",0.6
"53","6","Low Div",15,"1",0.4
"54","6","Low Div",15,"1",0.4
"55","6","Low Div",15,"1",0.2
"56","6","Low Div",15,"1",0.3
"57","6","Low Div",30,"1",0.1
"58","6","Low Div",30,"1",0.4
"59","6","Low Div",30,"1",1
"60","6","Low Div",30,"1",0.4
"61","6","High Div",0,"1",0.1
"62","6","High Div",0,"1",0.4
"63","6","High Div",0,"1",0.4
"64","6","High Div",0,"1",0.1
"65","6","High Div",15,"1",0.1
"66","6","High Div",15,"1",0.1
"67","6","High Div",15,"1",0.2
"68","6","High Div",15,"1",0.3
"69","6","High Div",30,"1",0.2
"70","6","High Div",30,"1",0.7
"71","6","High Div",30,"1",1
"72","6","High Div",30,"1",0.1
"73","7","Low Div",0,"1",1
"74","7","Low Div",0,"1",0.5
"75","7","Low Div",0,"1",0.2
"76","7","Low Div",0,"1",1
"77","7","Low Div",15,"1",0.1
"78","7","Low Div",15,"1",0.3
"79","7","Low Div",15,"1",0.2
"80","7","Low Div",15,"1",0.3
"81","7","Low Div",30,"1",1
"82","7","Low Div",30,"1",0.2
"83","7","Low Div",30,"1",0.2
"84","7","Low Div",30,"1",0.5
"85","7","High Div",0,"1",1
"86","7","High Div",0,"1",0.2
"87","7","High Div",0,"1",0.1
"88","7","High Div",0,"1",0.3
"89","7","High Div",15,"1",0.2
"90","7","High Div",15,"1",0.3
"91","7","High Div",15,"1",0.1
"92","7","High Div",15,"1",1
"93","7","High Div",30,"1",0.4
"94","7","High Div",30,"1",1
"95","7","High Div",30,"1",0.3
"96","7","High Div",30,"1",0.4
"97","8","Low Div",0,"1",0.1
"98","8","Low Div",0,"1",0.2
"99","8","Low Div",0,"1",0.1
"100","8","Low Div",0,"1",0.4
"101","8","Low Div",15,"1",0.3
"102","8","Low Div",15,"1",0.1
"103","8","Low Div",15,"1",0.2
"104","8","Low Div",15,"1",0
"105","8","Low Div",30,"1",0.2
"106","8","Low Div",30,"1",0.3
"107","8","Low Div",30,"1",0.2
"108","8","Low Div",30,"1",0.1
"109","8","High Div",0,"1",0.2
"110","8","High Div",0,"1",0.1
"111","8","High Div",0,"1",0.2
"112","8","High Div",0,"1",0.2
"113","8","High Div",15,"1",0.5
"114","8","High Div",15,"1",0.2
"115","8","High Div",15,"1",0.2
"116","8","High Div",15,"1",0.4
"117","8","High Div",30,"1",0
"118","8","High Div",30,"1",0.2
"119","8","High Div",30,"1",0.4
"120","8","High Div",30,"1",0.1
"121","10","Low Div",0,"1",0.3
"122","10","Low Div",0,"1",0.4
"123","10","Low Div",0,"1",0.3
"124","10","Low Div",0,"1",0.1
"125","10","Low Div",15,"1",0.2
"126","10","Low Div",15,"1",0.2
"127","10","Low Div",15,"1",0.1
"128","10","Low Div",15,"1",1
"129","10","Low Div",30,"1",1
"130","10","Low Div",30,"1",0.5
"131","10","Low Div",30,"1",0.2
"132","10","Low Div",30,"1",0
"133","10","High Div",0,"1",1
"134","10","High Div",0,"1",0.2
"135","10","High Div",0,"1",0.3
"136","10","High Div",0,"1",0.6
"137","10","High Div",15,"1",0.5
"138","10","High Div",15,"1",0.1
"139","10","High Div",15,"1",0.3
"140","10","High Div",15,"1",0.4
"141","10","High Div",30,"1",0.3
"142","10","High Div",30,"1",0.1
"143","10","High Div",30,"1",0.2
"144","10","High Div",30,"1",0.1
"145","11","Low Div",0,"1",0
"146","11","Low Div",0,"1",0.2
"147","11","Low Div",0,"1",0
"148","11","Low Div",0,"1",0.2
"149","11","Low Div",15,"1",0.3
"150","11","Low Div",15,"1",0
"151","11","Low Div",15,"1",1
"152","11","Low Div",15,"1",1
"153","11","Low Div",30,"1",0.3
"154","11","Low Div",30,"1",0.1
"155","11","Low Div",30,"1",0.4
"156","11","Low Div",30,"1",0.5
"157","11","High Div",0,"1",0.9
"158","11","High Div",0,"1",0
"159","11","High Div",0,"1",0.2
"160","11","High Div",0,"1",0.2
"161","11","High Div",15,"1",0.1
"162","11","High Div",15,"1",0.3
"163","11","High Div",15,"1",0.7
"164","11","High Div",15,"1",0.9
"165","11","High Div",30,"1",1
"166","11","High Div",30,"1",0.3
"167","11","High Div",30,"1",0.3
"168","11","High Div",30,"1",0.1
"169","12","Low Div",0,"1",0.4
"170","12","Low Div",0,"1",0
"171","12","Low Div",0,"1",1
"172","12","Low Div",0,"1",0.5
"173","12","Low Div",15,"1",0.2
"174","12","Low Div",15,"1",0.3
"175","12","Low Div",15,"1",0.3
"176","12","Low Div",15,"1",0.4
"177","12","Low Div",30,"1",0.2
"178","12","Low Div",30,"1",0.2
"179","12","Low Div",30,"1",0.6
"180","12","Low Div",30,"1",0.1
"181","12","High Div",0,"1",0.2
"182","12","High Div",0,"1",1
"183","12","High Div",0,"1",0.2
"184","12","High Div",0,"1",0.2
"185","12","High Div",15,"1",0.3
"186","12","High Div",15,"1",0.2
"187","12","High Div",15,"1",0.2
"188","12","High Div",15,"1",0.3
"189","12","High Div",30,"1",1
"190","12","High Div",30,"1",0.3
"191","12","High Div",30,"1",0.2
"192","12","High Div",30,"1",0.2
"193","1","Low Div",0,"1",0.2
"194","1","Low Div",0,"1",0.3
"195","1","Low Div",0,"1",0.2
"196","1","Low Div",0,"1",0.2
"197","1","Low Div",15,"1",0.3
"198","1","Low Div",15,"1",0
"199","1","Low Div",15,"1",0.2
"200","1","Low Div",15,"1",0.2
"201","1","Low Div",30,"1",0.1
"202","1","Low Div",30,"1",0.2
"203","1","Low Div",30,"1",0.1
"204","1","Low Div",30,"1",0.2
"205","1","High Div",0,"1",0.2
"206","1","High Div",0,"1",0.2
"207","1","High Div",0,"1",0.1
"208","1","High Div",0,"1",0.2
"209","1","High Div",15,"1",0.2
"210","1","High Div",15,"1",0.1
"211","1","High Div",15,"1",0.3
"212","1","High Div",15,"1",0
"213","1","High Div",30,"1",0
"214","1","High Div",30,"1",0.6
"215","1","High Div",30,"1",0.1
"216","1","High Div",30,"1",0.3
"217","9","Low Div",0,"1",0.1
"218","9","Low Div",0,"1",0
"219","9","Low Div",0,"1",0.2
"220","9","Low Div",0,"1",0.1
"221","9","Low Div",15,"1",0
"222","9","Low Div",15,"1",1
"223","9","Low Div",15,"1",0.1
"224","9","Low Div",15,"1",0.1
"225","9","Low Div",30,"1",0.1
"226","9","Low Div",30,"1",0
"227","9","Low Div",30,"1",0.1
"228","9","Low Div",30,"1",0
"229","9","High Div",0,"1",0.3
"230","9","High Div",0,"1",NA
"231","9","High Div",0,"1",0.2
"232","9","High Div",0,"1",0.2
"233","9","High Div",15,"1",0.5
"234","9","High Div",15,"1",0
"235","9","High Div",15,"1",0
"236","9","High Div",15,"1",0.3
"237","9","High Div",30,"1",0.1
"238","9","High Div",30,"1",0
"239","9","High Div",30,"1",0.3
"240","9","High Div",30,"1",0.2
"241","10","Low Div",0,"1",0.1
"242","10","Low Div",0,"1",1
"243","10","Low Div",0,"1",0.2
"244","10","Low Div",0,"1",0.2
"245","10","Low Div",15,"1",0.1
"246","10","Low Div",15,"1",0.1
"247","10","Low Div",15,"1",0.1
"248","10","Low Div",15,"1",0
"249","10","Low Div",30,"1",0.2
"250","10","Low Div",30,"1",0.2
"251","10","Low Div",30,"1",0.4
"252","10","Low Div",30,"1",0
"253","10","High Div",0,"1",1
"254","10","High Div",0,"1",0.2
"255","10","High Div",0,"1",0.1
"256","10","High Div",0,"1",0.1
"257","10","High Div",15,"1",0.2
"258","10","High Div",15,"1",0.2
"259","10","High Div",15,"1",0
"260","10","High Div",15,"1",0
"261","10","High Div",30,"1",0
"262","10","High Div",30,"1",0.9
"263","10","High Div",30,"1",0.6
"264","10","High Div",30,"1",0
"265","2","Low Div",0,"1",0.6
"266","2","Low Div",0,"1",0
"267","2","Low Div",0,"1",0.1
"268","2","Low Div",0,"1",0.3
"269","2","Low Div",15,"1",0.4
"270","2","Low Div",15,"1",1
"271","2","Low Div",15,"1",0.2
"272","2","Low Div",15,"1",0.4
"273","2","Low Div",30,"1",0.2
"274","2","Low Div",30,"1",0.5
"275","2","Low Div",30,"1",0.2
"276","2","Low Div",30,"1",0.5
"277","2","High Div",0,"1",0.2
"278","2","High Div",0,"1",0.7
"279","2","High Div",0,"1",0.9
"280","2","High Div",0,"1",0.2
"281","2","High Div",15,"1",0.2
"282","2","High Div",15,"1",0.1
"283","2","High Div",15,"1",0.7
"284","2","High Div",15,"1",0.3
"285","2","High Div",30,"1",1
"286","2","High Div",30,"1",0.7
"287","2","High Div",30,"1",0.5
"288","2","High Div",30,"1",0.3
"289","7","Low Div",0,"1",0.9
"290","7","Low Div",0,"1",0.5
"291","7","Low Div",0,"1",0.3
"292","7","Low Div",0,"1",0
"293","7","Low Div",15,"1",0.4
"294","7","Low Div",15,"1",0.3
"295","7","Low Div",15,"1",0.2
"296","7","Low Div",15,"1",0.5
"297","7","Low Div",30,"1",0.3
"298","7","Low Div",30,"1",0.2
"299","7","Low Div",30,"1",0.1
"300","7","Low Div",30,"1",0.2
"301","7","High Div",0,"1",0.5
"302","7","High Div",0,"1",0.1
"303","7","High Div",0,"1",0.7
"304","7","High Div",0,"1",0.1
"305","7","High Div",15,"1",0.5
"306","7","High Div",15,"1",0.2
"307","7","High Div",15,"1",0.1
"308","7","High Div",15,"1",1
"309","7","High Div",30,"1",0.5
"310","7","High Div",30,"1",1
"311","7","High Div",30,"1",1
"312","7","High Div",30,"1",0.1
"313","8","Low Div",0,"1",0.3
"314","8","Low Div",0,"1",0.5
"315","8","Low Div",0,"1",0.3
"316","8","Low Div",0,"1",0.2
"317","8","Low Div",15,"1",0.2
"318","8","Low Div",15,"1",0.9
"319","8","Low Div",15,"1",0
"320","8","Low Div",15,"1",0.6
"321","8","Low Div",30,"1",0
"322","8","Low Div",30,"1",0.1
"323","8","Low Div",30,"1",0
"324","8","Low Div",30,"1",0.5
"325","8","High Div",0,"1",0
"326","8","High Div",0,"1",0.1
"327","8","High Div",0,"1",0.3
"328","8","High Div",0,"1",0.1
"329","8","High Div",15,"1",0.6
"330","8","High Div",15,"1",0.3
"331","8","High Div",15,"1",0.2
"332","8","High Div",15,"1",0.3
"333","8","High Div",30,"1",0.1
"334","8","High Div",30,"1",0.3
"335","8","High Div",30,"1",0.2
"336","8","High Div",30,"1",0.4
"337","9","Low Div",0,"1",1
"338","9","Low Div",0,"1",0.3
"339","9","Low Div",0,"1",0.3
"340","9","Low Div",0,"1",0.2
"341","9","Low Div",15,"1",1
"342","9","Low Div",15,"1",0.1
"343","9","Low Div",15,"1",0.3
"344","9","Low Div",15,"1",0.6
"345","9","Low Div",30,"1",0.3
"346","9","Low Div",30,"1",0.4
"347","9","Low Div",30,"1",0.3
"348","9","Low Div",30,"1",0.1
"349","9","High Div",0,"1",1
"350","9","High Div",0,"1",0.4
"351","9","High Div",0,"1",0.9
"352","9","High Div",0,"1",0.4
"353","9","High Div",15,"1",0.2
"354","9","High Div",15,"1",0.6
"355","9","High Div",15,"1",0.8
"356","9","High Div",15,"1",0.4
"357","9","High Div",30,"1",1
"358","9","High Div",30,"1",1
"359","9","High Div",30,"1",0.6
"360","9","High Div",30,"1",0.3
"361","11","Low Div",0,"1",0.3
"362","11","Low Div",0,"1",0.2
"363","11","Low Div",0,"1",0.5
"364","11","Low Div",0,"1",1
"365","11","Low Div",15,"1",1
"366","11","Low Div",15,"1",0.3
"367","11","Low Div",15,"1",0.4
"368","11","Low Div",15,"1",1
"369","11","Low Div",30,"1",0.6
"370","11","Low Div",30,"1",1
"371","11","Low Div",30,"1",1
"372","11","Low Div",30,"1",1
"373","11","High Div",0,"1",0.3
"374","11","High Div",0,"1",1
"375","11","High Div",0,"1",0.1
"376","11","High Div",0,"1",0.5
"377","11","High Div",15,"1",0.9
"378","11","High Div",15,"1",0.2
"379","11","High Div",15,"1",0.2
"380","11","High Div",15,"1",0.1
"381","11","High Div",30,"1",0.3
"382","11","High Div",30,"1",1
"383","11","High Div",30,"1",0.3
"384","11","High Div",30,"1",0.3
"385","12","Low Div",0,"1",0.2
"386","12","Low Div",0,"1",1
"387","12","Low Div",0,"1",0.2
"388","12","Low Div",0,"1",0.1
"389","12","Low Div",15,"1",0.6
"390","12","Low Div",15,"1",0.6
"391","12","Low Div",15,"1",0.6
"392","12","Low Div",15,"1",1
"393","12","Low Div",30,"1",0.2
"394","12","Low Div",30,"1",0.4
"395","12","Low Div",30,"1",0.2
"396","12","Low Div",30,"1",1
"397","12","High Div",0,"1",1
"398","12","High Div",0,"1",0.1
"399","12","High Div",0,"1",0.9
"400","12","High Div",0,"1",0.3
"401","12","High Div",15,"1",0.5
"402","12","High Div",15,"1",0.5
"403","12","High Div",15,"1",0
"404","12","High Div",15,"1",0.7
"405","12","High Div",30,"1",0
"406","12","High Div",30,"1",0.5
"407","12","High Div",30,"1",0.6
"408","12","High Div",30,"1",0.1
"409","1","Low Div",0,"2",0.1
"410","1","Low Div",0,"2",0
"411","1","Low Div",0,"2",0
"412","1","Low Div",0,"2",0.3
"413","1","Low Div",15,"2",0.1
"414","1","Low Div",15,"2",0
"415","1","Low Div",15,"2",0
"416","1","Low Div",15,"2",0.4
"417","1","Low Div",30,"2",0.3
"418","1","Low Div",30,"2",1
"419","1","Low Div",30,"2",0.6
"420","1","Low Div",30,"2",0
"421","1","High Div",0,"2",0.1
"422","1","High Div",0,"2",0
"423","1","High Div",0,"2",0
"424","1","High Div",0,"2",0.3
"425","1","High Div",15,"2",0
"426","1","High Div",15,"2",0.8
"427","1","High Div",15,"2",0
"428","1","High Div",15,"2",0.2
"429","1","High Div",30,"2",0.2
"430","1","High Div",30,"2",0.1
"431","1","High Div",30,"2",0.1
"432","1","High Div",30,"2",0.2
"433","2","Low Div",0,"2",0.1
"434","2","Low Div",0,"2",0.2
"435","2","Low Div",0,"2",0.3
"436","2","Low Div",0,"2",0.4
"437","2","Low Div",15,"2",0.2
"438","2","Low Div",15,"2",0.1
"439","2","Low Div",15,"2",0.2
"440","2","Low Div",15,"2",0
"441","2","Low Div",30,"2",0
"442","2","Low Div",30,"2",0.1
"443","2","Low Div",30,"2",0.2
"444","2","Low Div",30,"2",0
"445","2","High Div",0,"2",1
"446","2","High Div",0,"2",0.3
"447","2","High Div",0,"2",0.2
"448","2","High Div",0,"2",0.1
"449","2","High Div",15,"2",0.3
"450","2","High Div",15,"2",0
"451","2","High Div",15,"2",1
"452","2","High Div",15,"2",0.3
"453","2","High Div",30,"2",0.4
"454","2","High Div",30,"2",0
"455","2","High Div",30,"2",0.3
"456","2","High Div",30,"2",0
"457","6","Low Div",0,"2",0
"458","6","Low Div",0,"2",0
"459","6","Low Div",0,"2",0
"460","6","Low Div",0,"2",0
"461","6","Low Div",15,"2",0.2
"462","6","Low Div",15,"2",0
"463","6","Low Div",15,"2",0.2
"464","6","Low Div",15,"2",0.2
"465","6","Low Div",30,"2",0
"466","6","Low Div",30,"2",0.1
"467","6","Low Div",30,"2",0
"468","6","Low Div",30,"2",0.2
"469","6","High Div",0,"2",0
"470","6","High Div",0,"2",0
"471","6","High Div",0,"2",0.1
"472","6","High Div",0,"2",0
"473","6","High Div",15,"2",0
"474","6","High Div",15,"2",0
"475","6","High Div",15,"2",0.2
"476","6","High Div",15,"2",0
"477","6","High Div",30,"2",0.2
"478","6","High Div",30,"2",0.2
"479","6","High Div",30,"2",0
"480","6","High Div",30,"2",0
"481","7","Low Div",0,"2",0.3
"482","7","Low Div",0,"2",0.2
"483","7","Low Div",0,"2",0
"484","7","Low Div",0,"2",0.1
"485","7","Low Div",15,"2",0.2
"486","7","Low Div",15,"2",0.1
"487","7","Low Div",15,"2",0
"488","7","Low Div",15,"2",0.2
"489","7","Low Div",30,"2",0.4
"490","7","Low Div",30,"2",0.1
"491","7","Low Div",30,"2",0
"492","7","Low Div",30,"2",0.2
"493","7","High Div",0,"2",0
"494","7","High Div",0,"2",0.2
"495","7","High Div",0,"2",0
"496","7","High Div",0,"2",0
"497","7","High Div",15,"2",0.2
"498","7","High Div",15,"2",1
"499","7","High Div",15,"2",0.1
"500","7","High Div",15,"2",0.1
"501","7","High Div",30,"2",0.1
"502","7","High Div",30,"2",0.2
"503","7","High Div",30,"2",0.1
"504","7","High Div",30,"2",0.1
"505","8","Low Div",0,"2",0
"506","8","Low Div",0,"2",1
"507","8","Low Div",0,"2",0.2
"508","8","Low Div",0,"2",0
"509","8","Low Div",15,"2",0.1
"510","8","Low Div",15,"2",0.9
"511","8","Low Div",15,"2",0.2
"512","8","Low Div",15,"2",0
"513","8","Low Div",30,"2",0
"514","8","Low Div",30,"2",0.3
"515","8","Low Div",30,"2",0.1
"516","8","Low Div",30,"2",0
"517","8","High Div",0,"2",0.1
"518","8","High Div",0,"2",0.1
"519","8","High Div",0,"2",0.2
"520","8","High Div",0,"2",0
"521","8","High Div",15,"2",0.1
"522","8","High Div",15,"2",0.1
"523","8","High Div",15,"2",0.3
"524","8","High Div",15,"2",0.1
"525","8","High Div",30,"2",0
"526","8","High Div",30,"2",0.4
"527","8","High Div",30,"2",0.1
"528","8","High Div",30,"2",0
"529","9","Low Div",0,"2",0.7
"530","9","Low Div",0,"2",0
"531","9","Low Div",0,"2",0.1
"532","9","Low Div",0,"2",0.3
"533","9","Low Div",15,"2",0.3
"534","9","Low Div",15,"2",0.3
"535","9","Low Div",15,"2",0.1
"536","9","Low Div",15,"2",0.2
"537","9","Low Div",30,"2",0.2
"538","9","Low Div",30,"2",0.3
"539","9","Low Div",30,"2",0
"540","9","Low Div",30,"2",0
"541","9","High Div",0,"2",0.3
"542","9","High Div",0,"2",1
"543","9","High Div",0,"2",0.2
"544","9","High Div",0,"2",0
"545","9","High Div",15,"2",0.6
"546","9","High Div",15,"2",0.3
"547","9","High Div",15,"2",0
"548","9","High Div",15,"2",0
"549","9","High Div",30,"2",0.2
"550","9","High Div",30,"2",0.2
"551","9","High Div",30,"2",0.2
"552","9","High Div",30,"2",0.2
"553","10","Low Div",0,"2",0.1
"554","10","Low Div",0,"2",0
"555","10","Low Div",0,"2",0.2
"556","10","Low Div",0,"2",0
"557","10","Low Div",15,"2",0.1
"558","10","Low Div",15,"2",0
"559","10","Low Div",15,"2",0.1
"560","10","Low Div",15,"2",0
"561","10","Low Div",30,"2",0.1
"562","10","Low Div",30,"2",0.3
"563","10","Low Div",30,"2",0.3
"564","10","Low Div",30,"2",0
"565","10","High Div",0,"2",0.4
"566","10","High Div",0,"2",0.2
"567","10","High Div",0,"2",0.3
"568","10","High Div",0,"2",0
"569","10","High Div",15,"2",0.3
"570","10","High Div",15,"2",1
"571","10","High Div",15,"2",0.3
"572","10","High Div",15,"2",0.1
"573","10","High Div",30,"2",0.3
"574","10","High Div",30,"2",0.1
"575","10","High Div",30,"2",0
"576","10","High Div",30,"2",0
"577","11","Low Div",0,"2",0.3
"578","11","Low Div",0,"2",0
"579","11","Low Div",0,"2",0
"580","11","Low Div",0,"2",0.7
"581","11","Low Div",15,"2",0.1
"582","11","Low Div",15,"2",1
"583","11","Low Div",15,"2",0.1
"584","11","Low Div",15,"2",0.2
"585","11","Low Div",30,"2",0.3
"586","11","Low Div",30,"2",0.9
"587","11","Low Div",30,"2",0.1
"588","11","Low Div",30,"2",0.2
"589","11","High Div",0,"2",0
"590","11","High Div",0,"2",1
"591","11","High Div",0,"2",0.2
"592","11","High Div",0,"2",0.2
"593","11","High Div",15,"2",0.3
"594","11","High Div",15,"2",0.1
"595","11","High Div",15,"2",0.1
"596","11","High Div",15,"2",0
"597","11","High Div",30,"2",0.3
"598","11","High Div",30,"2",0
"599","11","High Div",30,"2",0
"600","11","High Div",30,"2",0.1
"601","12","Low Div",0,"2",1
"602","12","Low Div",0,"2",0
"603","12","Low Div",0,"2",0
"604","12","Low Div",0,"2",0
"605","12","Low Div",15,"2",0.2
"606","12","Low Div",15,"2",0.2
"607","12","Low Div",15,"2",1
"608","12","Low Div",15,"2",0.2
"609","12","Low Div",30,"2",0.3
"610","12","Low Div",30,"2",0.1
"611","12","Low Div",30,"2",0.6
"612","12","Low Div",30,"2",0
"613","12","High Div",0,"2",0.1
"614","12","High Div",0,"2",1
"615","12","High Div",0,"2",0.1
"616","12","High Div",0,"2",0.9
"617","12","High Div",15,"2",0.3
"618","12","High Div",15,"2",0.2
"619","12","High Div",15,"2",0.3
"620","12","High Div",15,"2",0.6
"621","12","High Div",30,"2",0.3
"622","12","High Div",30,"2",0
"623","12","High Div",30,"2",0.1
"624","12","High Div",30,"2",0
"625","1","Low Div",0,"2",1
"626","1","Low Div",0,"2",0.3
"627","1","Low Div",0,"2",0.4
