"","couple","bande","mod","date","annee","ini","restant","paras","pred","Tx_pred","Tx_para","session","code2","code3","code2_session"
"994","1","BE","00m","9/7/18","2018",10,8,0,2,0.2,0,"1","1BE00m","1BE","1BE00m 1"
"995","1","BE","00m","9/7/18","2018",10,10,0,0,0,0,"1","1BE00m","1BE","1BE00m 1"
"996","1","BE","00m","9/7/18","2018",10,10,0,0,0,0,"1","1BE00m","1BE","1BE00m 1"
"997","1","BE","00m","9/7/18","2018",10,8,0,2,0.2,0,"1","1BE00m","1BE","1BE00m 1"
"998","1","BE","05m","9/7/18","2018",10,9,0,1,0.1,0,"1","1BE05m","1BE","1BE05m 1"
"999","1","BE","05m","9/7/18","2018",10,10,0,0,0,0,"1","1BE05m","1BE","1BE05m 1"
"1000","1","BE","05m","9/7/18","2018",10,8,0,2,0.2,0,"1","1BE05m","1BE","1BE05m 1"
"1001","1","BE","05m","9/7/18","2018",10,8,0,2,0.2,0,"1","1BE05m","1BE","1BE05m 1"
"1002","1","BE","20m","9/7/18","2018",10,8,0,2,0.2,0,"1","1BE20m","1BE","1BE20m 1"
"1003","1","BE","20m","9/7/18","2018",10,10,0,0,0,0,"1","1BE20m","1BE","1BE20m 1"
"1004","1","BE","20m","9/7/18","2018",10,7,0,3,0.3,0,"1","1BE20m","1BE","1BE20m 1"
"1005","1","BE","20m","9/7/18","2018",10,9,0,1,0.1,0,"1","1BE20m","1BE","1BE20m 1"
"1006","1","BF","00m","9/7/18","2018",10,9,0,1,0.1,0,"1","1BF00m","1BF","1BF00m 1"
"1007","1","BF","00m","9/7/18","2018",10,9,0,1,0.1,0,"1","1BF00m","1BF","1BF00m 1"
"1008","1","BF","00m","9/7/18","2018",10,6,0,4,0.4,0,"1","1BF00m","1BF","1BF00m 1"
"1009","1","BF","00m","9/7/18","2018",10,8,0,2,0.2,0,"1","1BF00m","1BF","1BF00m 1"
"1010","1","BF","05m","9/7/18","2018",10,0,0,10,1,0,"1","1BF05m","1BF","1BF05m 1"
"1011","1","BF","05m","9/7/18","2018",10,7,0,3,0.3,0,"1","1BF05m","1BF","1BF05m 1"
