"","Chisq","Df","Pr..Chisq."
"poly(Ldscp, 2)",4.18170234551255,2,0.123581901489795
"Treatment",5.81661353169129,1,0.015875482179777
"Guild",121.749783382442,1,2.61866382699827e-28
"Distance",4.92012128728263,1,0.0265456534734033
"poly(Ldscp, 2):Treatment",6.74255179467078,2,0.0343457876766062
"poly(Ldscp, 2):Guild",4.90881623061471,2,0.0859140315952965
"Treatment:Guild",1.38520973087353,1,0.239215730090392
"Treatment:Distance",0.713827665690265,1,0.398176040730564
"Guild:Distance",1.3607091136697,1,0.243414623817532
"poly(Ldscp, 2):Treatment:Guild",1.93553527871415,2,0.379930233428984
"Treatment:Guild:Distance",0.452283100472903,1,0.501252735723138
