"","Chisq","Df","Pr..Chisq."
"poly(Ldscp, 2)",4.82624524276756,2,0.0895352728412837
"Treatment",1.88943871725331,1,0.169265242367127
"Guild",125.634487664718,1,3.69668699919698e-29
"Distance",2.12575489010251,1,0.144841404135986
"poly(Ldscp, 2):Treatment",2.63152169291062,2,0.268270133190545
"poly(Ldscp, 2):Guild",3.7831493826368,2,0.150834104575078
"Treatment:Guild",2.53855031974402,1,0.11109674664751
"Treatment:Distance",0.00132436014296795,1,0.970969984976322
"Guild:Distance",0.510466440129092,1,0.474937007415427
"poly(Ldscp, 2):Treatment:Guild",0.919039669386748,2,0.631586838797763
"Treatment:Guild:Distance",0.15155325769397,1,0.69705540697793
